Valuation Date,Symbology,Ticker,Field Name,Value
2021-03-31,OG-Ticker,EUSWEC CMPL Curncy,MarketValue,-0.0048
2021-03-31,OG-Ticker,EUSWE1 CMPL Curncy,MarketValue,-0.00493
2021-03-31,OG-Ticker,EUSWE2 CMPL Curncy,MarketValue,-0.00493
2021-03-31,OG-Ticker,EUSWE3 CMPL Curncy,MarketValue,-0.0048
2021-03-31,OG-Ticker,EUSWE4 CMPL Curncy,MarketValue,-0.00423
2021-03-31,OG-Ticker,EUSWE5 CMPL Curncy,MarketValue,-0.00363
2021-03-31,OG-Ticker,EUSWE6 CMPL Curncy,MarketValue,-0.00293
2021-03-31,OG-Ticker,EUSWE7 CMPL Curncy,MarketValue,-0.00218
2021-03-31,OG-Ticker,EUSWE8 CMPL Curncy,MarketValue,-0.00143
2021-03-31,OG-Ticker,EUSWE9 CMPL Curncy,MarketValue,-0.00071
2021-03-31,OG-Ticker,EUSWE10 CMPL Curncy,MarketValue,-5e-06
2021-03-31,OG-Ticker,EUSWE12 CMPL Curncy,MarketValue,0.00122
2021-03-31,OG-Ticker,EUSWE15 CMPL Curncy,MarketValue,0.00273
2021-03-31,OG-Ticker,EUSWE20 CMPL Curncy,MarketValue,0.00401
2021-03-31,OG-Ticker,EUSWE30 CMPL Curncy,MarketValue,0.00433
2021-03-31,OG-Ticker,EUSWE50 CMPL Curncy,MarketValue,0.003775
2021-03-31,OG-Ticker,EUSWI1 CMPL Index,MarketValue,0.019543
2021-03-31,OG-Ticker,EUSWI2 CMPL Index,MarketValue,0.01566
2021-03-31,OG-Ticker,EUSWI3 CMPL Index,MarketValue,0.01473
2021-03-31,OG-Ticker,EUSWI4 CMPL Index,MarketValue,0.01449
2021-03-31,OG-Ticker,EUSWI5 CMPL Index,MarketValue,0.01455
2021-03-31,OG-Ticker,EUSWI6 CMPL Index,MarketValue,0.01458
2021-03-31,OG-Ticker,EUSWI7 CMPL Index,MarketValue,0.01465
2021-03-31,OG-Ticker,EUSWI8 CMPL Index,MarketValue,0.01473
2021-03-31,OG-Ticker,EUSWI9 CMPL Index,MarketValue,0.01481
2021-03-31,OG-Ticker,EUSWI10 CMPL Index,MarketValue,0.014975
2021-03-31,OG-Ticker,EUSWI12 CMPL Index,MarketValue,0.0153
2021-03-31,OG-Ticker,EUSWI15 CMPL Index,MarketValue,0.015975
2021-03-31,OG-Ticker,EUSWI18 CMPL Index,MarketValue,0.01639
2021-03-31,OG-Ticker,EUSWI20 CMPL Index,MarketValue,0.01666
2021-03-31,OG-Ticker,EUSWI25 CMPL Index,MarketValue,0.017225
2021-03-31,OG-Ticker,EUSWI30 CMPL Index,MarketValue,0.01746
2021-03-31,OG-Ticker,EUSWI35 CMPL Index,MarketValue,0.01776
2021-03-31,OG-Ticker,EUSWI40 CMPL Index,MarketValue,0.017838
2021-03-31,OG-Ticker,EUSWI45 CMPL Index,MarketValue,0.01815
2021-03-31,OG-Ticker,EUSWI50 CMPL Index,MarketValue,0.018113
