AGE,rate,YEAR
1,0.000205,2020
2,0.000205,2021
3,0.000205,2022
4,0.000205,2023
5,0.000205,2024
6,0.000205,2025
7,0.000205,2026
8,0.000205,2027
9,0.000205,2028
10,0.000205,2029
11,0.000205,2030
12,0.000205,2031
13,0.000205,2032
14,0.000311,2033
15,0.00041,2034
16,0.000492,2035
17,0.00056,2036
18,0.000614,2037
19,0.000656,2038
20,0.000689,2039
21,0.000712,2040
22,0.000729,2041
23,0.00074,2042
24,0.000747,2043
25,0.000752,2044
26,0.000756,2045
27,0.00076,2046
28,0.000767,2047
29,0.000778,2048
30,0.000794,2049
31,0.000817,2050
32,0.000848,2051
33,0.00089,2052
34,0.000942,2053
35,0.001009,2054
36,0.001089,2055
37,0.001186,2056
38,0.001208,2057
39,0.001372,2058
40,0.001552,2059
41,0.001753,2060
42,0.001975,2061
43,0.00222,2062
44,0.002492,2063
45,0.002793,2064
46,0.003127,2065
47,0.003496,2066
48,0.003905,2067
49,0.004358,2068
50,0.004859,2069
51,0.005414,2070
52,0.006029,2071
53,0.006709,2072
54,0.007462,2073
55,0.008295,2074
56,0.009218,2075
57,0.010238,2076
58,0.011367,2077
59,0.012617,2078
60,0.013999,2079
61,0.015528,2080
62,0.017218,2081
63,0.019087,2082
64,0.021154,2083
65,0.023437,2084
66,0.025961,2085
67,0.028749,2086
68,0.031827,2087
69,0.035226,2088
70,0.038977,2089
71,0.043115,2090
72,0.047678,2091
73,0.052796,2092
74,0.05726,2093
75,0.062179,2094
76,0.067599,2095
77,0.073566,2096
78,0.08013,2097
79,0.087348,2098
80,0.095276,2099
81,0.103979,2100
82,0.11352,2101
83,0.123971,2102
84,0.135404,2103
85,0.147893,2104
86,0.161517,2105
87,0.176355,2106
88,0.192484,2107
89,0.209981,2108
90,0.228921,2109
91,0.249371,2110
92,0.271391,2111
93,0.295029,2112
94,0.320319,2113
95,0.347274,2114
96,0.375887,2115
97,0.406119,2116
98,0.437901,2117
99,0.471123,2118
100,0.505637,2119
101,0.541244,2120
102,0.5777,2121
103,0.614711,2122
104,0.651933,2123
105,0.688981,2124
106,0.725433,2125
107,0.760846,2126
108,0.794766,2127
109,0.826753,2128
110,1,2129
111,1,2130
112,1,2131
113,1,2132
114,1,2133
115,1,2134
116,1,2135
117,1,2136
118,1,2137
119,1,2138
120,1,2139
