Id,Strata Trade Type,Id Scheme,Trade Date,Start Date,Tenor,Convention,Buy Sell,Long Short,Payoff Settlement Type,Expiry Date,Expiry Time,Expiry Zone,Premium Direction,Premium Date,Premium Currency,Premium Amount,Notional,Fixed Rate,Price,PV,Quantity
SWAPTION_ABN05,Swaption,OG,2007-02-02,2025-12-03,15Y,EUR-FIXED-1Y-EURIBOR-6M,Sell,Long,Physical,2025-12-03,11:00,Europe/Paris,Receive,2025-12-03,EUR,0,3e+07,3.9,56.131297774,16839389.33,1
SWAPTION_BC05,Swaption,OG,2015-08-25,2025-08-28,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2025-08-26,11:00,Europe/Paris,Pay,2025-08-26,EUR,0,1.45e+08,3.5,0.301481674,437148.43,1
SWAPTION_BC06,Swaption,OG,2015-08-25,2025-08-28,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2025-08-26,11:00,Europe/Paris,Pay,2025-08-26,EUR,0,1.45e+08,3.5,0.301481674,437148.43,1
SWAPTION_BC07,Swaption,OG,2016-08-25,2022-09-22,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Short,Physical,2022-09-20,11:00,Europe/Paris,Pay,2022-09-20,EUR,0,125400000,3.5,0.101206241,-126912.63,1
SWAPTION_BNP07,Swaption,OG,2014-07-31,2024-08-02,10Y,EUR-FIXED-1Y-EURIBOR-6M,Sell,Long,Physical,2024-07-31,11:00,Europe/Paris,Receive,2024-07-31,EUR,0,3e+07,3.311,32.749802499,9824940.75,1
SWAPTION_BNP34,Swaption,OG,2016-08-11,2021-08-13,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2021-08-11,11:00,Europe/Paris,Pay,2021-08-11,EUR,0,6e+07,1.445,0.064065286,38439.17,1
SWAPTION_BNP35,Swaption,OG,2019-08-20,2035-06-06,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2035-06-04,11:00,Europe/Paris,Pay,2035-06-04,EUR,0,4e+07,5,1.138379657,455351.86,1
SWAPTION_BNP36,Swaption,OG,2019-08-20,2025-06-05,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2025-06-03,11:00,Europe/Paris,Pay,2025-06-03,EUR,0,5e+07,5,0.139964669,69982.33,1
SWAPTION_BNP37,Swaption,OG,2019-12-12,2034-07-26,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2034-07-24,11:00,Europe/Paris,Pay,2034-07-24,EUR,0,36500000,4.5,1.180292875,430806.9,1
SWAPTION_BNP38,Swaption,OG,2019-12-12,2031-06-24,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2031-06-20,11:00,Europe/Paris,Pay,2031-06-20,EUR,0,6e+07,4.25,2.481431576,1488858.95,1
SWAPTION_BNP39,Swaption,OG,2019-12-12,2031-06-25,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2031-06-23,11:00,Europe/Paris,Pay,2031-06-23,EUR,0,6.7e+07,4.25,2.483395683,1663875.11,1
SWAPTION_BNP40,Swaption,OG,2019-12-12,2035-06-18,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2035-06-14,11:00,Europe/Paris,Pay,2035-06-14,EUR,0,4e+07,5,1.141277347,456510.94,1
SWAPTION_BNP41,Swaption,OG,2019-12-12,2035-06-20,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2035-06-18,11:00,Europe/Paris,Pay,2035-06-18,EUR,0,8e+07,5,1.142512628,914010.1,1
SWAPTION_BNP42,Swaption,OG,2019-12-12,2025-06-19,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2025-06-17,11:00,Europe/Paris,Pay,2025-06-17,EUR,0,1e+08,5,0.141538357,141538.36,1
SWAPTION_BNP43,Swaption,OG,2019-12-12,2028-05-10,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2028-05-08,11:00,Europe/Paris,Pay,2028-05-08,EUR,0,7e+07,3.5,0.727770736,509439.52,1
SWAPTION_BNP44,Swaption,OG,2019-12-12,2028-05-10,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2028-05-08,11:00,Europe/Paris,Pay,2028-05-08,EUR,0,4.4e+08,4.5,0.496226981,2183398.72,1
SWAPTION_BNP45,Swaption,OG,2019-12-12,2025-12-03,15Y,EUR-FIXED-1Y-EURIBOR-6M,Sell,Short,Physical,2025-12-01,11:00,Europe/Paris,Receive,2025-12-01,EUR,0,3e+07,3.9,56.12677126,-16838031.38,1
SWAPTION_GS03,Swaption,OG,2011-06-21,2021-06-23,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2021-06-21,11:00,Europe/Paris,Pay,2021-06-21,EUR,0,2.5e+07,3.69,0.012545073,3136.27,1
SWAPTION_GS06,Swaption,OG,2012-07-19,2022-07-21,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2022-07-19,11:00,Europe/Paris,Pay,2022-07-19,EUR,0,83600000,3.5,0.079601692,66547.01,1
SWAPTION_GS09,Swaption,OG,2012-07-19,2022-07-21,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2022-07-19,11:00,Europe/Paris,Pay,2022-07-19,EUR,0,125400000,3.5,0.079601692,99820.52,1
SWAPTION_GS11,Swaption,OG,2012-07-19,2027-07-21,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2027-07-19,11:00,Europe/Paris,Pay,2027-07-19,EUR,0,149400000,3.5,0.86356619,1290167.89,1
SWAPTION_GS13,Swaption,OG,2012-07-19,2027-07-21,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2027-07-19,11:00,Europe/Paris,Pay,2027-07-19,EUR,0,224100000,3.5,0.86356619,1935251.83,1
SWAPTION_GS21,Swaption,OG,2012-07-24,2027-07-28,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Short,Physical,2027-07-26,11:00,Europe/Paris,Pay,2027-07-26,EUR,0,4e+07,6.5,0.126355747,-50542.3,1
SWAPTION_GS25,Swaption,OG,2012-07-24,2027-07-28,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Short,Physical,2027-07-26,11:00,Europe/Paris,Pay,2027-07-26,EUR,0,36400000,6.5,0.126355747,-45993.49,1
SWAPTION_GS45,Swaption,OG,2012-09-25,2027-09-29,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Short,Physical,2027-09-27,11:00,Europe/Paris,Pay,2027-09-27,EUR,0,76400000,6.5,0.137858502,-105323.9,1
SWAPTION_HSBC01,Swaption,OG,2013-09-18,2028-09-20,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2028-09-18,11:00,Europe/Paris,Pay,2028-09-18,EUR,0,2e+08,2.923,1.509523422,3019046.84,1
SWAPTION_HSBC02,Swaption,OG,2013-09-20,2028-09-22,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2028-09-20,11:00,Europe/Paris,Pay,2028-09-20,EUR,0,1e+08,3.015,1.447556369,1447556.37,1
SWAPTION_HSBC04,Swaption,OG,2013-09-26,2028-09-28,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2028-09-26,11:00,Europe/Paris,Pay,2028-09-26,EUR,0,2e+08,2.979,1.006123641,2012247.28,1
SWAPTION_HSBC08,Swaption,OG,2013-10-09,2028-10-11,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2028-10-09,11:00,Europe/Paris,Pay,2028-10-09,EUR,0,2e+08,3.056,0.974496004,1948992.01,1
SWAPTION_HSBC09,Swaption,OG,2014-07-17,2029-07-19,25Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2029-07-17,11:00,Europe/Paris,Pay,2029-07-17,EUR,0,1.4e+08,2.399,3.349300711,4689021,1
SWAPTION_HSBC10,Swaption,OG,2014-07-17,2029-07-19,25Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2029-07-17,11:00,Europe/Paris,Pay,2029-07-17,EUR,0,1e+08,2.399,3.349300711,3349300.71,1
SWAPTION_HSBC11,Swaption,OG,2014-07-17,2029-07-19,25Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2029-07-17,11:00,Europe/Paris,Pay,2029-07-17,EUR,0,1.5e+08,2.399,3.349300711,5023951.07,1
SWAPTION_HSBC12,Swaption,OG,2014-07-17,2029-07-19,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2029-07-17,11:00,Europe/Paris,Pay,2029-07-17,EUR,0,1.5e+08,2.47,2.181954464,3272931.7,1
SWAPTION_HSBC27,Swaption,OG,2015-08-27,2035-08-30,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2035-08-28,11:00,Europe/Paris,Pay,2035-08-28,EUR,0,5e+07,3.5,1.719447992,859724,1
SWAPTION_HSBC28,Swaption,OG,2015-08-27,2035-08-30,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2035-08-28,11:00,Europe/Paris,Pay,2035-08-28,EUR,0,5e+07,3.5,1.719447992,859724,1
SWAPTION_JP21,Swaption,OG,2011-07-26,2020-07-28,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2020-07-24,11:00,Europe/Paris,Pay,2020-07-24,EUR,0,23750000,3.69,0,0,1
SWAPTION_JP22,Swaption,OG,2011-07-28,2031-07-30,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2031-07-28,11:00,Europe/Paris,Pay,2031-07-28,EUR,0,1.87e+08,4.05,2.58686119,4837430.43,1
SWAPTION_MS11,Swaption,OG,2016-08-17,2026-08-19,10Y,EUR-FIXED-1Y-EURIBOR-6M,Sell,Long,Physical,2026-08-17,11:00,Europe/Paris,Receive,2026-08-17,EUR,0,5e+07,0.74,8.730828319,4365414.16,1
SWAPTION_MS12,Swaption,OG,2016-08-18,2036-08-20,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2036-08-18,11:00,Europe/Paris,Pay,2036-08-18,EUR,0,8e+07,1.32,4.527205561,3621764.45,1
SWAPTION_RABO01,Swaption,OG,2011-07-26,2021-07-28,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2021-07-26,11:00,Europe/Paris,Pay,2021-07-26,EUR,0,2.5e+07,3.69,0.014228599,3557.15,1
SWAPTION_RABO02,Swaption,OG,2012-09-17,2027-09-21,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2027-09-17,11:00,Europe/Paris,Pay,2027-09-17,EUR,0,224100000,3.5,0.90613678,2030652.52,1
SWAPTION_RABO03,Swaption,OG,2012-09-17,2027-09-21,15Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2027-09-17,11:00,Europe/Paris,Pay,2027-09-17,EUR,0,149400000,3.5,0.90613678,1353768.35,1
SWAPTION_RBS19,Swaption,OG,2010-06-07,2025-06-11,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2025-06-09,11:00,Europe/Paris,Pay,2025-06-09,EUR,0,5e+07,5,0.140641708,70320.85,1
SWAPTION_SG02,Swaption,OG,2011-06-16,2031-06-18,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2031-06-16,11:00,Europe/Paris,Pay,2031-06-16,EUR,0,6e+07,4.25,2.478884837,1487330.9,1
SWAPTION_SG12,Swaption,OG,2013-04-29,2023-05-04,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2023-05-02,11:00,Europe/Paris,Pay,2023-05-02,EUR,0,2.2e+08,4.5,0.050443826,110976.42,1
SWAPTION_SG16,Swaption,OG,2013-04-29,2023-05-04,10Y,EUR-FIXED-1Y-EURIBOR-6M,Sell,Long,Physical,2023-05-02,11:00,Europe/Paris,Receive,2023-05-02,EUR,0,9e+07,3.65,36.919489526,33227540.57,1
SWAPTION_UBS08,Swaption,OG,2012-09-20,2022-09-22,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2022-09-20,11:00,Europe/Paris,Pay,2022-09-20,EUR,0,125400000,3.5,0.101206241,126912.63,1
SWAPTION_UBS09,Swaption,OG,2012-09-20,2022-09-22,20Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2022-09-20,11:00,Europe/Paris,Pay,2022-09-20,EUR,0,83600000,3.5,0.101206241,84608.42,1
SWAPTION_UBS16,Swaption,OG,2013-04-30,2023-05-05,10Y,EUR-FIXED-1Y-EURIBOR-6M,Buy,Long,Physical,2023-05-03,11:00,Europe/Paris,Pay,2023-05-03,EUR,0,2.2e+08,4.5,0.05063532,111397.7,1
SWAPTION_UBS20,Swaption,OG,2013-04-30,2023-05-05,10Y,EUR-FIXED-1Y-EURIBOR-6M,Sell,Long,Physical,2023-05-03,11:00,Europe/Paris,Receive,2023-05-03,EUR,0,9e+07,3.65,36.918033554,33226230.2,1
